
# Explanation:
#   SampleID: unique folder name for each sample.
#   Rwp(%)   : final Rwp in percent (Bragg-Only, Conventional line).
#   ZeroShift: final zero shift (degrees).
#   Biso_O1  : isotropic displacement parameter for atom O1.
#   Biso_O2  : isotropic displacement parameter for atom O2.
#   Biso_O3  : isotropic displacement parameter for atom O3.
#   Biso_Pb  : isotropic displacement parameter for atom Pb.
#   Biso_S  : isotropic displacement parameter for atom S.
#   Scale    : final scale factor.
#   U, V, W  : final peak shape parameters.
#   a, b, c  : orthorhombic lattice parameters (Å).
#   Status   : parse result from .out (OK, NO_OUT, NEG_BISO, etc.).
#   Class    : classification label [CLOSE, BOUNDARY, INVALID].
#   FirstBragg: first bragg peak 2theta from .prf

Run: 1
DateTime: 2025-05-05_13-38-19
Crystal Structure: orthorhombic
# If 'sample1' is found, we define reference_rwp = that sample's Rwp => Rref.
# Reference Rwp (Rref) from sample1 => 7.370
# Thresholds => Close < (Rref+10), Boundary < (Rref+20), else Invalid.
# SampleID        Rwp(%)    ZeroShift    Biso_O1  Biso_O2  Biso_O3  Biso_Pb  Biso_S  Scale      U        V        W       a        b        c      FirstBragg   Status     Class
sample3057       8.120     -0.08154   1.98980   1.46871   1.31869   1.41329   0.41850      1.481915   0.15569  -0.45632   0.41907   8.47948  5.39631  6.95811    20.39360  OK        CLOSE
sample3058      12.800     -0.05654   1.98990   1.46849   1.31850   1.41322   0.41843      1.481174   0.15561  -0.45610   0.41928   8.47821  5.39658  6.95845    20.41920  OK        CLOSE
sample3059       9.600     -0.10654   1.98970   1.46864   1.31863   1.41336   0.41848      1.479694   0.15577  -0.45564   0.41886   8.47906  5.39712  6.95776    20.36960  OK        CLOSE
sample306       13.200     -0.05456   1.98990   1.46858   1.31855   1.41345   0.41845      1.480892   0.15566  -0.45562   0.41935   8.47801  5.39634  6.95903    20.42040  OK        CLOSE
sample3060       7.630     -0.09404   1.98955   1.46867   1.31853   1.41326   0.41849      1.480190   0.15557  -0.45621   0.41938   8.47799  5.39645  6.95898    20.38100  OK        CLOSE
sample3061      14.700     -0.04404   1.98975   1.46853   1.31866   1.41340   0.41845      1.479324   0.15573  -0.45576   0.41896   8.47884  5.39699  6.95828    20.43140  OK        CLOSE
sample3062       9.020     -0.06904   1.98985   1.46860   1.31846   1.41347   0.41851      1.480064   0.15549  -0.45553   0.41917   8.47842  5.39726  6.95863    20.40620  OK        CLOSE
sample3063      12.000     -0.11904   1.98965   1.46845   1.31860   1.41333   0.41847      1.481545   0.15565  -0.45598   0.41875   8.47927  5.39672  6.95793    20.35660  OK        CLOSE
sample3064      13.500     -0.12529   1.98958   1.46862   1.31855   1.41328   0.41846      1.480619   0.15563  -0.45604   0.41902   8.47831  5.39705  6.95837    20.35050  OK        CLOSE
sample3065       8.210     -0.07529   1.98978   1.46847   1.31868   1.41342   0.41850      1.482100   0.15548  -0.45559   0.41944   8.47916  5.39651  6.95906    20.39850  OK        CLOSE
sample3066      14.900     -0.05029   1.98988   1.46869   1.31848   1.41335   0.41844      1.481359   0.15571  -0.45581   0.41881   8.47874  5.39625  6.95802    20.42570  OK        CLOSE
sample3067       9.330     -0.10029   1.98968   1.46855   1.31861   1.41320   0.41848      1.479879   0.15555  -0.45627   0.41923   8.47959  5.39678  6.95871    20.37370  OK        CLOSE
sample3068      10.100     -0.11279   1.98953   1.46851   1.31858   1.41338   0.41847      1.480989   0.15575  -0.45547   0.41891   8.47853  5.39665  6.95819    20.36310  OK        CLOSE
sample3069       9.300     -0.06279   1.98973   1.46866   1.31871   1.41324   0.41843      1.479509   0.15559  -0.45593   0.41933   8.47937  5.39719  6.95889    20.41110  OK        CLOSE
sample307        9.200     -0.10456   1.98970   1.46873   1.31868   1.41331   0.41849      1.479411   0.15551  -0.45607   0.41894   8.47886  5.39688  6.95834    20.37080  OK        CLOSE
sample3070       7.630     -0.08779   1.98983   1.46858   1.31851   1.41331   0.41849      1.480113   0.15567  -0.45615   0.41870   8.47810  5.39692  6.95785    20.38920  OK        CLOSE
sample3071      16.400     -0.13779   1.98963   1.46873   1.31864   1.41345   0.41845      1.481730   0.15551  -0.45570   0.41912   8.47895  5.39638  6.95854    20.33710  OK        CLOSE
sample3072      16.200     -0.13784   1.98969   1.46852   1.31847   1.41342   0.41844      1.481150   0.15578  -0.45614   0.41905   8.47831  5.39651  6.95875    20.33730  OK        CLOSE
sample3073       7.450     -0.08784   1.98988   1.46866   1.31861   1.41328   0.41848      1.480325   0.15562  -0.45568   0.41947   8.47916  5.39705  6.95806    20.38770  OK        CLOSE
sample3074      10.700     -0.06284   1.98979   1.46859   1.31854   1.41321   0.41846      1.480410   0.15570  -0.45591   0.41884   8.47873  5.39678  6.95840    20.41250  OK        CLOSE
sample3075      10.200     -0.11284   1.98959   1.46874   1.31867   1.41335   0.41851      1.481890   0.15554  -0.45637   0.41926   8.47958  5.39624  6.95771    20.36290  OK        CLOSE
sample3076       9.150     -0.10034   1.98964   1.46863   1.31851   1.41324   0.41850      1.480039   0.15566  -0.45557   0.41894   8.47852  5.39719  6.95893    20.37430  OK        CLOSE
sample3077      13.400     -0.05034   1.98984   1.46848   1.31864   1.41338   0.41845      1.481520   0.15550  -0.45602   0.41936   8.47937  5.39665  6.95823    20.42470  OK        CLOSE
sample3078       9.200     -0.07534   1.98974   1.46870   1.31857   1.41345   0.41847      1.480780   0.15574  -0.45625   0.41874   8.47810  5.39638  6.95858    20.40030  OK        CLOSE
sample3079      13.300     -0.12534   1.98954   1.46855   1.31870   1.41331   0.41843      1.479299   0.15558  -0.45580   0.41915   8.47895  5.39691  6.95788    20.35070  OK        CLOSE
sample308        7.380     -0.09206   1.98955   1.46862   1.31845   1.41341   0.41850      1.480744   0.15562  -0.45573   0.41925   8.47823  5.39647  6.95851    20.38360  OK        CLOSE
sample3080      11.200     -0.11909   1.98966   1.46868   1.31849   1.41329   0.41844      1.481335   0.15556  -0.45585   0.41952   8.47863  5.39631  6.95832    20.35650  OK        CLOSE
sample3081       8.580     -0.06909   1.98986   1.46854   1.31862   1.41344   0.41848      1.479854   0.15572  -0.45631   0.41910   8.47948  5.39685  6.95901    20.40440  OK        CLOSE
sample3082      15.500     -0.04409   1.98976   1.46861   1.31856   1.41336   0.41846      1.480595   0.15548  -0.45608   0.41931   8.47821  5.39712  6.95797    20.43250  OK        CLOSE
sample3083       7.820     -0.09409   1.98956   1.46846   1.31869   1.41322   0.41850      1.480555   0.15564  -0.45563   0.41889   8.47905  5.39658  6.95866    20.38050  OK        CLOSE
sample3084       8.860     -0.10659   1.98961   1.46857   1.31846   1.41340   0.41851      1.480224   0.15552  -0.45620   0.41942   8.47799  5.39698  6.95814    20.36990  OK        CLOSE
sample3085      12.000     -0.05659   1.98981   1.46872   1.31859   1.41326   0.41847      1.481705   0.15568  -0.45574   0.41900   8.47884  5.39644  6.95884    20.41790  OK        CLOSE
sample3086       8.310     -0.08159   1.98971   1.46850   1.31852   1.41333   0.41849      1.480965   0.15560  -0.45551   0.41921   8.47842  5.39671  6.95780    20.39510  OK        CLOSE
sample3087      16.700     -0.13159   1.98951   1.46865   1.31866   1.41347   0.41845      1.479484   0.15576  -0.45597   0.41879   8.47927  5.39725  6.95849    20.34310  OK        CLOSE
sample3088      14.400     -0.12846   1.98990   1.46871   1.31866   1.41334   0.41847      1.481613   0.15565  -0.45582   0.41929   8.47847  5.39681  6.95862    20.34670  OK        CLOSE
sample3089       8.750     -0.07846   1.98970   1.46856   1.31853   1.41320   0.41851      1.480132   0.15549  -0.45628   0.41887   8.47932  5.39627  6.95793    20.39710  OK        CLOSE
sample309       15.500     -0.04206   1.98975   1.46847   1.31858   1.41327   0.41846      1.479781   0.15547  -0.45619   0.41883   8.47907  5.39701  6.95782    20.43400  OK        CLOSE
sample3090      13.100     -0.05346   1.98960   1.46864   1.31860   1.41327   0.41845      1.479391   0.15573  -0.45605   0.41950   8.47804  5.39654  6.95897    20.42150  OK        CLOSE
sample3091       9.240     -0.10346   1.98980   1.46849   1.31847   1.41341   0.41849      1.480872   0.15557  -0.45560   0.41907   8.47889  5.39708  6.95827    20.37190  OK        CLOSE
sample3092       7.410     -0.09096   1.98985   1.46853   1.31870   1.41330   0.41848      1.480050   0.15577  -0.45617   0.41918   8.47826  5.39641  6.95845    20.38480  OK        CLOSE
sample3093      16.000     -0.04096   1.98965   1.46867   1.31856   1.41344   0.41843      1.481242   0.15561  -0.45571   0.41876   8.47911  5.39695  6.95775    20.43520  OK        CLOSE
sample3094       9.240     -0.06596   1.98955   1.46845   1.31863   1.41337   0.41850      1.481983   0.15569  -0.45548   0.41939   8.47868  5.39722  6.95880    20.40870  OK        CLOSE
sample3095      11.700     -0.11596   1.98975   1.46860   1.31850   1.41323   0.41846      1.480502   0.15553  -0.45594   0.41897   8.47953  5.39668  6.95810    20.35910  OK        CLOSE
sample3096      11.900     -0.12221   1.98987   1.46847   1.31868   1.41321   0.41845      1.481798   0.15551  -0.45611   0.41881   8.47815  5.39702  6.95784    20.35470  OK        CLOSE
sample3097       9.050     -0.07221   1.98967   1.46862   1.31855   1.41336   0.41849      1.480317   0.15567  -0.45565   0.41923   8.47900  5.39648  6.95854    20.40260  OK        CLOSE
sample3098      15.700     -0.04721   1.98957   1.46855   1.31861   1.41343   0.41843      1.479577   0.15559  -0.45588   0.41902   8.47858  5.39621  6.95819    20.42870  OK        CLOSE
sample3099       8.790     -0.09721   1.98977   1.46869   1.31848   1.41328   0.41847      1.481057   0.15575  -0.45634   0.41944   8.47942  5.39675  6.95888    20.37660  OK        CLOSE
sample31        15.300     -0.13484   1.98990   1.46854   1.31847   1.41332   0.41845      1.481742   0.15561  -0.45629   0.41924   8.47889  5.39663  6.95801    20.34110  OK        CLOSE
sample310        9.530     -0.06706   1.98985   1.46869   1.31851   1.41320   0.41848      1.480522   0.15570  -0.45596   0.41946   8.47865  5.39675  6.95886    20.40750  OK        CLOSE
sample3100       9.490     -0.10971   1.98982   1.46866   1.31865   1.41346   0.41848      1.479947   0.15555  -0.45554   0.41871   8.47879  5.39661  6.95801    20.36630  OK        CLOSE
sample3101       9.920     -0.05971   1.98962   1.46851   1.31852   1.41332   0.41844      1.481428   0.15571  -0.45599   0.41913   8.47964  5.39715  6.95871    20.41420  OK        CLOSE
sample3102       7.580     -0.08471   1.98952   1.46873   1.31858   1.41325   0.41850      1.480983   0.15547  -0.45622   0.41892   8.47836  5.39688  6.95836    20.39110  OK        CLOSE
sample3103      16.500     -0.13471   1.98972   1.46858   1.31845   1.41339   0.41846      1.480687   0.15563  -0.45577   0.41934   8.47921  5.39634  6.95906    20.33900  OK        CLOSE
sample3104      15.700     -0.13315   1.98959   1.46862   1.31859   1.41332   0.41847      1.481196   0.15571  -0.45601   0.41885   8.47876  5.39710  6.95817    20.34260  OK        CLOSE
sample3105       7.710     -0.08315   1.98979   1.46848   1.31846   1.41347   0.41843      1.479505   0.15556  -0.45555   0.41927   8.47961  5.39656  6.95886    20.39050  OK        CLOSE
sample3106      13.600     -0.05815   1.98989   1.46870   1.31866   1.41340   0.41849      1.480456   0.15563  -0.45578   0.41906   8.47834  5.39629  6.95782    20.41860  OK        CLOSE
sample3107      10.300     -0.10815   1.98969   1.46855   1.31853   1.41325   0.41845      1.481936   0.15548  -0.45624   0.41948   8.47919  5.39683  6.95851    20.36650  OK        CLOSE
sample3108       7.440     -0.09565   1.98954   1.46851   1.31863   1.41336   0.41846      1.480076   0.15567  -0.45567   0.41875   8.47813  5.39670  6.95834    20.38040  OK        CLOSE
sample3109      12.900     -0.04565   1.98974   1.46866   1.31849   1.41322   0.41850      1.481566   0.15552  -0.45612   0.41917   8.47897  5.39724  6.95904    20.42830  OK        CLOSE
sample311       11.400     -0.11706   1.98965   1.46854   1.31865   1.41334   0.41844      1.482002   0.15555  -0.45550   0.41904   8.47950  5.39620  6.95817    20.35790  OK        CLOSE
sample3110       9.510     -0.07065   1.98984   1.46859   1.31869   1.41329   0.41844      1.480826   0.15575  -0.45635   0.41896   8.47855  5.39697  6.95799    20.40560  OK        CLOSE
sample3111      12.900     -0.12065   1.98964   1.46873   1.31856   1.41343   0.41848      1.479345   0.15560  -0.45590   0.41938   8.47940  5.39643  6.95869    20.35350  OK        CLOSE
sample3112      11.200     -0.11440   1.98957   1.46857   1.31864   1.41345   0.41849      1.481381   0.15562  -0.45572   0.41922   8.47823  5.39676  6.95895    20.36050  OK        CLOSE
sample3113      11.200     -0.06440   1.98977   1.46872   1.31851   1.41331   0.41845      1.479900   0.15577  -0.45618   0.41880   8.47908  5.39622  6.95825    20.41090  OK        CLOSE
sample3114      16.500     -0.03940   1.98987   1.46849   1.31871   1.41324   0.41851      1.480641   0.15554  -0.45595   0.41943   8.47866  5.39649  6.95860    20.43570  OK        CLOSE
sample3115       7.640     -0.08940   1.98967   1.46864   1.31858   1.41338   0.41847      1.480943   0.15569  -0.45550   0.41901   8.47950  5.39703  6.95791    20.38610  OK        CLOSE
sample3116       8.390     -0.10190   1.98952   1.46868   1.31861   1.41320   0.41846      1.480271   0.15550  -0.45630   0.41912   8.47844  5.39636  6.95878    20.37310  OK        CLOSE
sample3117      12.900     -0.05190   1.98972   1.46853   1.31848   1.41334   0.41850      1.481751   0.15565  -0.45584   0.41870   8.47929  5.39690  6.95808    20.42350  OK        CLOSE
sample3118       8.390     -0.07690   1.98982   1.46861   1.31868   1.41341   0.41844      1.481011   0.15558  -0.45561   0.41932   8.47802  5.39717  6.95843    20.39910  OK        CLOSE
sample3119      13.000     -0.12690   1.98962   1.46846   1.31854   1.41327   0.41848      1.479530   0.15573  -0.45607   0.41891   8.47887  5.39663  6.95773    20.34950  OK        CLOSE
sample312       11.900     -0.12331   1.98958   1.46871   1.31847   1.41339   0.41845      1.480337   0.15557  -0.45567   0.41878   8.47812  5.39695  6.95773    20.35380  OK        CLOSE
sample3120      12.600     -0.13002   1.98980   1.46854   1.31852   1.41325   0.41850      1.481474   0.15566  -0.45570   0.41946   8.47807  5.39626  6.95803    20.34660  OK        CLOSE
sample3121       7.700     -0.08003   1.98960   1.46869   1.31865   1.41339   0.41845      1.479657   0.15551  -0.45615   0.41904   8.47892  5.39680  6.95873    20.39450  OK        CLOSE
sample3122      12.200     -0.05503   1.98970   1.46847   1.31845   1.41346   0.41848      1.479253   0.15574  -0.45592   0.41925   8.47850  5.39707  6.95838    20.42060  OK        CLOSE
sample3123      10.100     -0.10503   1.98990   1.46861   1.31859   1.41332   0.41843      1.480733   0.15559  -0.45547   0.41883   8.47934  5.39653  6.95908    20.36850  OK        CLOSE
sample3124       7.380     -0.09252   1.98975   1.46872   1.31855   1.41342   0.41844      1.480253   0.15570  -0.45627   0.41935   8.47871  5.39693  6.95786    20.38380  OK        CLOSE
sample3125      15.100     -0.04253   1.98956   1.46858   1.31868   1.41328   0.41849      1.481104   0.15555  -0.45581   0.41893   8.47956  5.39639  6.95856    20.43170  OK        CLOSE
sample3126      10.500     -0.06752   1.98965   1.46865   1.31849   1.41321   0.41847      1.481844   0.15563  -0.45558   0.41914   8.47828  5.39666  6.95821    20.40860  OK        CLOSE
sample3127      13.500     -0.11752   1.98985   1.46850   1.31862   1.41335   0.41851      1.480363   0.15547  -0.45604   0.41872   8.47913  5.39720  6.95890    20.35650  OK        CLOSE
sample3128      12.800     -0.12377   1.98978   1.46867   1.31857   1.41337   0.41850      1.481659   0.15549  -0.45598   0.41909   8.47860  5.39659  6.95847    20.35160  OK        CLOSE
sample3129       8.600     -0.07378   1.98958   1.46852   1.31870   1.41323   0.41846      1.480178   0.15564  -0.45553   0.41951   8.47945  5.39713  6.95777    20.40200  OK        CLOSE
sample313        9.090     -0.07331   1.98978   1.46856   1.31860   1.41325   0.41849      1.481817   0.15572  -0.45613   0.41920   8.47897  5.39641  6.95842    20.40180  OK        CLOSE
sample3130      13.800     -0.04877   1.98968   1.46874   1.31850   1.41330   0.41848      1.479438   0.15557  -0.45575   0.41888   8.47818  5.39687  6.95882    20.42640  OK        CLOSE
sample3131       7.910     -0.09877   1.98988   1.46860   1.31863   1.41344   0.41844      1.479897   0.15572  -0.45621   0.41930   8.47903  5.39633  6.95812    20.37680  OK        CLOSE
sample3132      11.100     -0.11128   1.98973   1.46849   1.31854   1.41326   0.41843      1.479808   0.15560  -0.45564   0.41898   8.47839  5.39727  6.95864    20.36400  OK        CLOSE
sample3133      11.200     -0.06128   1.98953   1.46863   1.31867   1.41340   0.41847      1.481289   0.15576  -0.45609   0.41940   8.47924  5.39673  6.95795    20.41440  OK        CLOSE
sample3134       7.550     -0.08627   1.98963   1.46856   1.31847   1.41333   0.41845      1.480589   0.15553  -0.45632   0.41877   8.47882  5.39646  6.95899    20.38790  OK        CLOSE
sample3135      17.600     -0.13627   1.98983   1.46871   1.31860   1.41319   0.41849      1.480548   0.15568  -0.45587   0.41919   8.47966  5.39700  6.95830    20.33830  OK        BOUNDARY
sample3136      14.400     -0.13549   1.98955   1.46861   1.31849   1.41346   0.41851      1.482145   0.15556  -0.45563   0.41950   8.47856  5.39644  6.95778    20.34110  OK        CLOSE
sample3137       7.520     -0.08549   1.98974   1.46847   1.31862   1.41332   0.41847      1.480195   0.15572  -0.45609   0.41908   8.47941  5.39697  6.95848    20.38900  OK        CLOSE
sample3138      11.400     -0.06049   1.98984   1.46869   1.31855   1.41325   0.41849      1.479924   0.15549  -0.45632   0.41929   8.47814  5.39724  6.95813    20.41590  OK        CLOSE
sample3139      10.800     -0.11049   1.98965   1.46854   1.31869   1.41339   0.41844      1.481404   0.15564  -0.45586   0.41887   8.47899  5.39670  6.95883    20.36380  OK        CLOSE
sample314       14.800     -0.04831   1.98988   1.46864   1.31853   1.41332   0.41847      1.481077   0.15549  -0.45636   0.41899   8.47855  5.39668  6.95808    20.42780  OK        CLOSE
sample3140       7.590     -0.09799   1.98960   1.46850   1.31846   1.41322   0.41843      1.479861   0.15552  -0.45597   0.41940   8.47835  5.39684  6.95796    20.37850  OK        CLOSE
sample3141      14.200     -0.04799   1.98979   1.46865   1.31859   1.41336   0.41848      1.481034   0.15568  -0.45552   0.41898   8.47920  5.39630  6.95865    20.42640  OK        CLOSE
sample3142       9.130     -0.07299   1.98989   1.46858   1.31852   1.41343   0.41846      1.481774   0.15560  -0.45575   0.41919   8.47878  5.39657  6.95831    20.40250  OK        CLOSE
sample3143      15.300     -0.12299   1.98970   1.46872   1.31865   1.41329   0.41850      1.480294   0.15576  -0.45620   0.41877   8.47962  5.39711  6.95900    20.35040  OK        CLOSE
sample3144      11.000     -0.11674   1.98952   1.46859   1.31847   1.41330   0.41849      1.481960   0.15574  -0.45637   0.41903   8.47803  5.39664  6.95874    20.35870  OK        CLOSE
sample3145       9.680     -0.06674   1.98972   1.46874   1.31860   1.41345   0.41845      1.480479   0.15558  -0.45592   0.41945   8.47888  5.39718  6.95805    20.40910  OK        CLOSE
sample3146      14.800     -0.04174   1.98982   1.46852   1.31854   1.41338   0.41847      1.479738   0.15566  -0.45569   0.41882   8.47846  5.39691  6.95909    20.43260  OK        CLOSE
sample3147       7.620     -0.09174   1.98962   1.46867   1.31867   1.41323   0.41843      1.480177   0.15551  -0.45615   0.41924   8.47930  5.39637  6.95840    20.38310  OK        CLOSE
sample3148       9.410     -0.10424   1.98957   1.46870   1.31850   1.41334   0.41844      1.479368   0.15562  -0.45580   0.41892   8.47867  5.39704  6.95857    20.37090  OK        CLOSE
sample3149      13.100     -0.05424   1.98977   1.46856   1.31864   1.41320   0.41848      1.480849   0.15547  -0.45626   0.41934   8.47952  5.39650  6.95787    20.42130  OK        CLOSE
sample315        9.380     -0.09831   1.98968   1.46849   1.31866   1.41346   0.41851      1.479596   0.15564  -0.45590   0.41941   8.47939  5.39722  6.95877    20.37570  OK        CLOSE
sample3150       8.490     -0.07924   1.98987   1.46863   1.31857   1.41327   0.41846      1.481589   0.15570  -0.45603   0.41872   8.47824  5.39623  6.95892    20.39570  OK        CLOSE
sample3151      14.600     -0.12924   1.98967   1.46848   1.31870   1.41341   0.41850      1.480109   0.15554  -0.45558   0.41913   8.47909  5.39677  6.95822    20.34610  OK        CLOSE
sample3152      13.700     -0.12612   1.98976   1.46855   1.31869   1.41338   0.41848      1.480942   0.15554  -0.45635   0.41885   8.47830  5.39714  6.95826    20.34990  OK        CLOSE
sample3153       8.070     -0.07612   1.98956   1.46869   1.31856   1.41324   0.41844      1.478998   0.15569  -0.45589   0.41926   8.47915  5.39660  6.95896    20.39780  OK        CLOSE
sample3154      14.700     -0.05112   1.98966   1.46847   1.31863   1.41331   0.41850      1.480201   0.15561  -0.45566   0.41906   8.47872  5.39633  6.95791    20.42510  OK        CLOSE
sample3155       9.480     -0.10112   1.98986   1.46862   1.31850   1.41345   0.41846      1.481682   0.15577  -0.45612   0.41947   8.47957  5.39687  6.95861    20.37300  OK        CLOSE
sample3156       7.530     -0.08862   1.98981   1.46873   1.31866   1.41328   0.41845      1.480187   0.15557  -0.45577   0.41874   8.47851  5.39647  6.95809    20.38750  OK        CLOSE
sample3157      14.900     -0.03862   1.98961   1.46858   1.31853   1.41342   0.41849      1.482052   0.15573  -0.45623   0.41916   8.47936  5.39701  6.95879    20.43540  OK        CLOSE
sample3158      11.900     -0.06362   1.98971   1.46866   1.31860   1.41335   0.41843      1.481312   0.15550  -0.45600   0.41895   8.47809  5.39674  6.95774    20.41350  OK        CLOSE
sample3159      10.300     -0.11362   1.98991   1.46851   1.31846   1.41321   0.41847      1.479831   0.15565  -0.45555   0.41937   8.47893  5.39620  6.95844    20.36150  OK        CLOSE
sample316        9.240     -0.11081   1.98953   1.46860   1.31850   1.41329   0.41850      1.481447   0.15553  -0.45602   0.41888   8.47876  5.39627  6.95790    20.36540  OK        CLOSE
sample3160      13.200     -0.11987   1.98973   1.46864   1.31868   1.41323   0.41848      1.480757   0.15563  -0.45560   0.41932   8.47883  5.39694  6.95887    20.35450  OK        CLOSE
sample3161       9.610     -0.06987   1.98953   1.46849   1.31855   1.41337   0.41844      1.479276   0.15548  -0.45606   0.41890   8.47968  5.39640  6.95818    20.40490  OK        CLOSE
sample3162      15.200     -0.04487   1.98963   1.46871   1.31861   1.41344   0.41850      1.480016   0.15571  -0.45629   0.41953   8.47841  5.39667  6.95853    20.43060  OK        CLOSE
sample3163       8.020     -0.09487   1.98983   1.46857   1.31848   1.41330   0.41846      1.480232   0.15555  -0.45583   0.41911   8.47925  5.39721  6.95783    20.38100  OK        CLOSE
sample3164       9.290     -0.10737   1.98978   1.46846   1.31871   1.41340   0.41847      1.480386   0.15575  -0.45595   0.41921   8.47819  5.39627  6.95905    20.36740  OK        CLOSE
sample3165      11.600     -0.05737   1.98958   1.46860   1.31858   1.41326   0.41851      1.481867   0.15559  -0.45549   0.41879   8.47904  5.39681  6.95835    20.41780  OK        CLOSE
sample3166       7.530     -0.08237   1.98968   1.46853   1.31865   1.41319   0.41845      1.480735   0.15567  -0.45572   0.41942   8.47862  5.39708  6.95870    20.39260  OK        CLOSE
sample3167      15.100     -0.13237   1.98988   1.46868   1.31851   1.41333   0.41849      1.479646   0.15551  -0.45617   0.41900   8.47946  5.39654  6.95800    20.34300  OK        CLOSE
sample3168      15.400     -0.13393   1.98964   1.46850   1.31863   1.41327   0.41846      1.482098   0.15559  -0.45550   0.41925   8.47811  5.39689  6.95855    20.34180  OK        CLOSE
sample3169       8.090     -0.08393   1.98984   1.46864   1.31850   1.41342   0.41850      1.479626   0.15574  -0.45596   0.41883   8.47896  5.39635  6.95785    20.39220  OK        CLOSE
sample317       10.300     -0.06081   1.98973   1.46875   1.31863   1.41343   0.41846      1.479966   0.15568  -0.45556   0.41930   8.47960  5.39681  6.95860    20.41330  OK        CLOSE
sample3170      11.400     -0.05893   1.98974   1.46857   1.31870   1.41334   0.41844      1.479877   0.15551  -0.45619   0.41946   8.47854  5.39662  6.95889    20.41570  OK        CLOSE
sample3171      10.800     -0.10893   1.98954   1.46872   1.31857   1.41320   0.41848      1.481358   0.15567  -0.45573   0.41904   8.47938  5.39716  6.95820    20.36610  OK        CLOSE
sample3172       7.830     -0.09643   1.98969   1.46861   1.31860   1.41338   0.41849      1.479167   0.15547  -0.45607   0.41915   8.47875  5.39621  6.95872    20.37830  OK        CLOSE
sample3173      14.200     -0.04643   1.98989   1.46846   1.31847   1.41324   0.41845      1.480988   0.15563  -0.45562   0.41873   8.47960  5.39676  6.95803    20.42870  OK        CLOSE
sample3174       8.660     -0.07143   1.98979   1.46868   1.31867   1.41331   0.41851      1.481728   0.15555  -0.45585   0.41936   8.47832  5.39703  6.95907    20.40310  OK        CLOSE
sample3175      12.600     -0.12143   1.98959   1.46853   1.31853   1.41345   0.41847      1.480247   0.15571  -0.45630   0.41894   8.47917  5.39649  6.95837    20.35350  OK        CLOSE
sample3176      11.100     -0.11518   1.98961   1.46870   1.31858   1.41343   0.41846      1.481913   0.15573  -0.45625   0.41889   8.47843  5.39723  6.95794    20.36130  OK        CLOSE
sample3177       9.770     -0.06518   1.98981   1.46855   1.31845   1.41329   0.41850      1.480433   0.15557  -0.45579   0.41930   8.47928  5.39669  6.95863    20.40920  OK        CLOSE
sample3178      17.500     -0.04018   1.98971   1.46863   1.31865   1.41322   0.41844      1.479692   0.15565  -0.45556   0.41909   8.47801  5.39642  6.95829    20.43610  OK        BOUNDARY
sample3179       7.730     -0.09018   1.98951   1.46848   1.31852   1.41336   0.41848      1.480296   0.15549  -0.45602   0.41951   8.47885  5.39696  6.95898    20.38400  OK        CLOSE
sample318        7.480     -0.08581   1.98983   1.46853   1.31856   1.41336   0.41848      1.480560   0.15560  -0.45579   0.41909   8.47833  5.39708  6.95825    20.39020  OK        CLOSE
sample3180       7.790     -0.10268   1.98966   1.46859   1.31862   1.41326   0.41847      1.479333   0.15569  -0.45590   0.41878   8.47822  5.39655  6.95777    20.37430  OK        CLOSE
sample3181      12.100     -0.05268   1.98986   1.46874   1.31848   1.41340   0.41843      1.480803   0.15553  -0.45636   0.41920   8.47907  5.39709  6.95846    20.42220  OK        CLOSE
sample3182       8.380     -0.07768   1.98976   1.46852   1.31868   1.41347   0.41849      1.481543   0.15576  -0.45613   0.41899   8.47864  5.39682  6.95811    20.39830  OK        CLOSE
sample3183      14.700     -0.12768   1.98956   1.46866   1.31855   1.41333   0.41845      1.480062   0.15561  -0.45567   0.41941   8.47949  5.39628  6.95881    20.34620  OK        CLOSE
sample3184      15.600     -0.13081   1.98985   1.46875   1.31858   1.41319   0.41843      1.481080   0.15548  -0.45622   0.41907   8.47870  5.39672  6.95902    20.34350  OK        CLOSE
sample3185       7.620     -0.08081   1.98965   1.46860   1.31871   1.41334   0.41847      1.480030   0.15564  -0.45576   0.41949   8.47954  5.39726  6.95833    20.39390  OK        CLOSE
sample3186      12.000     -0.05581   1.98955   1.46867   1.31851   1.41341   0.41845      1.480340   0.15556  -0.45553   0.41886   8.47827  5.39699  6.95868    20.41950  OK        CLOSE
sample3187       8.940     -0.10581   1.98975   1.46852   1.31864   1.41327   0.41850      1.481821   0.15571  -0.45599   0.41928   8.47912  5.39645  6.95798    20.36990  OK        CLOSE
sample3188       7.780     -0.09331   1.98990   1.46856   1.31854   1.41344   0.41851      1.480112   0.15560  -0.45587   0.41896   8.47806  5.39713  6.95885    20.38190  OK        CLOSE
sample3189      15.700     -0.04331   1.98970   1.46871   1.31867   1.41330   0.41846      1.482191   0.15575  -0.45633   0.41938   8.47891  5.39659  6.95815    20.43230  OK        CLOSE
sample319       17.000     -0.13581   1.98963   1.46867   1.31870   1.41322   0.41844      1.482187   0.15576  -0.45624   0.41951   8.47918  5.39654  6.95895    20.33810  OK        CLOSE
sample3190      10.400     -0.06831   1.98960   1.46849   1.31848   1.41323   0.41849      1.481451   0.15552  -0.45610   0.41875   8.47848  5.39632  6.95850    20.40710  OK        CLOSE
