
# Explanation:
#   SampleID: unique folder name for each sample.
#   Rwp(%)   : final Rwp in percent (Bragg-Only, Conventional line).
#   ZeroShift: final zero shift (degrees).
#   Biso_Ce  : isotropic displacement parameter for atom Ce.
#   Biso_O  : isotropic displacement parameter for atom O.
#   Scale    : final scale factor.
#   U, V, W  : final peak shape parameters.
#   a        : cubic lattice parameter (Å).
#   Status   : parse result from .out (OK, NO_OUT, NEG_BISO, etc.).
#   Class    : classification label [CLOSE, BOUNDARY, INVALID].
#   FirstBragg: first bragg peak 2theta from .prf

Run: 1
DateTime: 2025-05-12_05-34-00
Crystal Structure: cubic
# If 'sample1' is found, we define reference_rwp = that sample's Rwp => Rref.
# Reference Rwp (Rref) from sample1 => 12.600
# Thresholds => Close < (Rref+10), Boundary < (Rref+20), else Invalid.
# SampleID        Rwp(%)    ZeroShift    Biso_Ce  Biso_O  Scale      U        V        W       a      FirstBragg   Status     Class
sample1546      16.900     -0.01190   0.03938   0.84885      0.000644   0.02156  -0.03968   0.01964   5.41126    28.53540  OK        CLOSE
sample1547      12.600     -0.01940   0.03938   0.84894      0.000644   0.02153  -0.03964   0.01966   5.41153    28.52640  OK        CLOSE
sample1548      12.600     -0.02128   0.03938   0.84879      0.000643   0.02153  -0.03965   0.01968   5.41119    28.52640  OK        CLOSE
sample1549      14.100     -0.01378   0.03938   0.84887      0.000644   0.02155  -0.03969   0.01966   5.41146    28.53240  OK        CLOSE
sample155       12.600     -0.01973   0.03938   0.84893      0.000645   0.02156  -0.03968   0.01966   5.41156    28.52600  OK        CLOSE
sample1550      13.100     -0.01753   0.03938   0.84883      0.000644   0.02154  -0.03967   0.01967   5.41132    28.52940  OK        CLOSE
sample1551      15.400     -0.02503   0.03938   0.84891      0.000644   0.02156  -0.03963   0.01965   5.41160    28.52050  OK        CLOSE
sample1552      13.400     -0.02456   0.03938   0.84893      0.000644   0.02155  -0.03970   0.01965   5.41134    28.52230  OK        CLOSE
sample1553      12.700     -0.01706   0.03938   0.84884      0.000644   0.02153  -0.03966   0.01968   5.41161    28.52830  OK        CLOSE
sample1554      16.100     -0.01331   0.03938   0.84889      0.000645   0.02156  -0.03964   0.01964   5.41121    28.53430  OK        CLOSE
sample1555      12.600     -0.02081   0.03938   0.84880      0.000644   0.02154  -0.03968   0.01966   5.41148    28.52530  OK        CLOSE
sample1556      12.900     -0.01893   0.03938   0.84891      0.000644   0.02154  -0.03968   0.01967   5.41127    28.52830  OK        CLOSE
sample1557      14.900     -0.01143   0.03938   0.84882      0.000644   0.02156  -0.03965   0.01965   5.41155    28.53430  OK        CLOSE
sample1558      13.700     -0.01518   0.03938   0.84887      0.000643   0.02153  -0.03963   0.01966   5.41141    28.53130  OK        CLOSE
sample1559      14.300     -0.02268   0.03938   0.84878      0.000644   0.02155  -0.03967   0.01964   5.41168    28.52230  OK        CLOSE
sample156       12.500     -0.02160   0.03938   0.84878      0.000644   0.02156  -0.03969   0.01968   5.41122    28.52590  OK        CLOSE
sample1560      12.600     -0.02362   0.03938   0.84883      0.000644   0.02155  -0.03970   0.01966   5.41117    28.52410  OK        CLOSE
sample1561      13.200     -0.01612   0.03938   0.84892      0.000644   0.02153  -0.03966   0.01964   5.41144    28.53020  OK        CLOSE
sample1562      16.100     -0.01237   0.03938   0.84879      0.000644   0.02156  -0.03964   0.01967   5.41131    28.53470  OK        CLOSE
sample1563      12.600     -0.01987   0.03938   0.84888      0.000644   0.02154  -0.03968   0.01965   5.41158    28.52570  OK        CLOSE
sample1564      12.600     -0.02175   0.03938   0.84886      0.000644   0.02153  -0.03969   0.01965   5.41138    28.52490  OK        CLOSE
sample1565      13.200     -0.01424   0.03938   0.84894      0.000644   0.02156  -0.03965   0.01967   5.41165    28.53100  OK        CLOSE
sample1566      13.300     -0.01799   0.03938   0.84881      0.000644   0.02152  -0.03963   0.01966   5.41124    28.52940  OK        CLOSE
sample1567      15.100     -0.02550   0.03938   0.84890      0.000643   0.02155  -0.03967   0.01968   5.41151    28.52040  OK        CLOSE
sample1568      13.900     -0.02526   0.03938   0.84879      0.000644   0.02154  -0.03963   0.01964   5.41137    28.52150  OK        CLOSE
sample1569      12.700     -0.01776   0.03938   0.84887      0.000644   0.02156  -0.03967   0.01966   5.41164    28.52750  OK        CLOSE
sample157       13.800     -0.01410   0.03938   0.84887      0.000644   0.02154  -0.03965   0.01966   5.41149    28.53200  OK        CLOSE
sample1570      15.300     -0.01401   0.03938   0.84883      0.000643   0.02153  -0.03969   0.01965   5.41123    28.53340  OK        CLOSE
sample1571      12.700     -0.02151   0.03938   0.84892      0.000644   0.02155  -0.03965   0.01967   5.41150    28.52450  OK        CLOSE
sample1572      13.100     -0.01963   0.03938   0.84881      0.000644   0.02155  -0.03963   0.01967   5.41116    28.52820  OK        CLOSE
sample1573      15.200     -0.01213   0.03938   0.84890      0.000644   0.02153  -0.03966   0.01965   5.41144    28.53420  OK        CLOSE
sample1574      13.900     -0.01588   0.03938   0.84885      0.000645   0.02156  -0.03968   0.01968   5.41130    28.53120  OK        CLOSE
sample1575      14.000     -0.02338   0.03938   0.84894      0.000644   0.02154  -0.03964   0.01966   5.41157    28.52220  OK        CLOSE
sample1576      12.500     -0.02245   0.03938   0.84888      0.000644   0.02154  -0.03964   0.01968   5.41127    28.52480  OK        CLOSE
sample1577      13.300     -0.01495   0.03938   0.84880      0.000644   0.02156  -0.03968   0.01966   5.41154    28.53080  OK        CLOSE
sample1578      16.200     -0.01120   0.03938   0.84893      0.000644   0.02153  -0.03970   0.01967   5.41140    28.53530  OK        CLOSE
sample1579      12.700     -0.01870   0.03938   0.84884      0.000643   0.02155  -0.03966   0.01965   5.41167    28.52640  OK        CLOSE
sample158       13.000     -0.01785   0.03938   0.84882      0.000644   0.02155  -0.03963   0.01967   5.41135    28.52890  OK        CLOSE
sample1580      12.500     -0.02057   0.03938   0.84886      0.000644   0.02156  -0.03963   0.01965   5.41133    28.52630  OK        CLOSE
sample1581      13.800     -0.01307   0.03938   0.84878      0.000644   0.02153  -0.03967   0.01967   5.41160    28.53240  OK        CLOSE
sample1582      13.900     -0.01682   0.03938   0.84891      0.000644   0.02157  -0.03969   0.01964   5.41120    28.53080  OK        CLOSE
sample1583      13.900     -0.02432   0.03938   0.84882      0.000645   0.02154  -0.03965   0.01966   5.41147    28.52180  OK        CLOSE
sample1584      13.100     -0.02479   0.03938   0.84886      0.000644   0.02153  -0.03968   0.01967   5.41122    28.52270  OK        CLOSE
sample1585      12.800     -0.01729   0.03938   0.84894      0.000643   0.02155  -0.03964   0.01965   5.41149    28.52880  OK        CLOSE
sample1586      14.800     -0.01354   0.03938   0.84882      0.000644   0.02154  -0.03966   0.01966   5.41135    28.53330  OK        CLOSE
sample1587      13.000     -0.02104   0.03938   0.84890      0.000644   0.02157  -0.03970   0.01964   5.41162    28.52430  OK        CLOSE
sample1588      12.600     -0.01917   0.03938   0.84884      0.000644   0.02156  -0.03967   0.01966   5.41142    28.52730  OK        CLOSE
sample1589      14.000     -0.01167   0.03938   0.84892      0.000645   0.02154  -0.03963   0.01968   5.41169    28.53330  OK        CLOSE
sample159       15.900     -0.02536   0.03938   0.84891      0.000643   0.02153  -0.03967   0.01965   5.41162    28.52000  OK        CLOSE
sample1590      14.200     -0.01542   0.03938   0.84879      0.000644   0.02155  -0.03965   0.01965   5.41128    28.53170  OK        CLOSE
sample1591      13.600     -0.02292   0.03938   0.84888      0.000644   0.02153  -0.03969   0.01967   5.41155    28.52280  OK        CLOSE
sample1592      13.000     -0.02385   0.03938   0.84891      0.000643   0.02152  -0.03968   0.01965   5.41132    28.52310  OK        CLOSE
sample1593      12.800     -0.01635   0.03938   0.84883      0.000644   0.02155  -0.03964   0.01967   5.41159    28.52920  OK        CLOSE
sample1594      17.000     -0.01260   0.03938   0.84887      0.000644   0.02153  -0.03966   0.01966   5.41118    28.53510  OK        CLOSE
sample1595      12.600     -0.02010   0.03938   0.84878      0.000644   0.02156  -0.03970   0.01968   5.41145    28.52620  OK        CLOSE
sample1596      12.500     -0.02198   0.03938   0.84893      0.000645   0.02156  -0.03967   0.01966   5.41125    28.52540  OK        CLOSE
sample1597      13.500     -0.01448   0.03938   0.84885      0.000644   0.02154  -0.03963   0.01964   5.41152    28.53140  OK        CLOSE
sample1598      12.800     -0.01823   0.03938   0.84889      0.000644   0.02155  -0.03965   0.01967   5.41139    28.52840  OK        CLOSE
sample1599      16.500     -0.02573   0.03938   0.84881      0.000644   0.02153  -0.03969   0.01965   5.41166    28.51940  OK        CLOSE
sample16        13.700     -0.02459   0.03938   0.84884      0.000644   0.02154  -0.03966   0.01967   5.41141    28.52190  OK        CLOSE
sample160       13.100     -0.02512   0.03938   0.84884      0.000644   0.02156  -0.03964   0.01967   5.41119    28.52250  OK        CLOSE
sample1600      13.800     -0.02561   0.03938   0.84883      0.000644   0.02153  -0.03963   0.01964   5.41130    28.52140  OK        CLOSE
sample1601      12.600     -0.01811   0.03938   0.84891      0.000644   0.02155  -0.03966   0.01966   5.41158    28.52750  OK        CLOSE
sample1602      15.600     -0.01436   0.03938   0.84879      0.000644   0.02154  -0.03968   0.01965   5.41117    28.53340  OK        CLOSE
sample1603      12.700     -0.02186   0.03938   0.84887      0.000643   0.02156  -0.03964   0.01967   5.41144    28.52450  OK        CLOSE
sample1604      12.700     -0.01999   0.03938   0.84885      0.000644   0.02157  -0.03963   0.01967   5.41124    28.52740  OK        CLOSE
sample1605      14.500     -0.01249   0.03938   0.84893      0.000644   0.02154  -0.03968   0.01965   5.41151    28.53350  OK        CLOSE
sample1606      13.500     -0.01624   0.03938   0.84881      0.000644   0.02155  -0.03970   0.01968   5.41137    28.53050  OK        CLOSE
sample1607      14.800     -0.02374   0.03938   0.84889      0.000645   0.02153  -0.03966   0.01966   5.41164    28.52150  OK        CLOSE
sample1608      12.500     -0.02280   0.03938   0.84894      0.000644   0.02153  -0.03963   0.01968   5.41120    28.52480  OK        CLOSE
sample1609      13.400     -0.01530   0.03938   0.84886      0.000644   0.02155  -0.03967   0.01966   5.41147    28.53080  OK        CLOSE
sample161       12.700     -0.01762   0.03938   0.84893      0.000644   0.02154  -0.03968   0.01965   5.41146    28.52860  OK        CLOSE
sample1610      16.500     -0.01155   0.03938   0.84890      0.000644   0.02154  -0.03969   0.01967   5.41134    28.53530  OK        CLOSE
sample1611      12.600     -0.01905   0.03938   0.84882      0.000644   0.02156  -0.03965   0.01965   5.41161    28.52640  OK        CLOSE
sample1612      12.500     -0.02092   0.03938   0.84892      0.000644   0.02156  -0.03964   0.01965   5.41141    28.52560  OK        CLOSE
sample1613      13.400     -0.01342   0.03938   0.84884      0.000644   0.02153  -0.03968   0.01967   5.41168    28.53160  OK        CLOSE
sample1614      13.500     -0.01717   0.03938   0.84888      0.000645   0.02155  -0.03970   0.01964   5.41127    28.53010  OK        CLOSE
sample1615      14.700     -0.02467   0.03938   0.84880      0.000644   0.02152  -0.03966   0.01966   5.41154    28.52110  OK        CLOSE
sample1616      13.100     -0.02421   0.03938   0.84880      0.000643   0.02154  -0.03967   0.01967   5.41129    28.52290  OK        CLOSE
sample1617      12.800     -0.01671   0.03938   0.84889      0.000644   0.02156  -0.03963   0.01965   5.41156    28.52900  OK        CLOSE
sample1618      14.700     -0.01296   0.03938   0.84884      0.000644   0.02153  -0.03965   0.01966   5.41142    28.53350  OK        CLOSE
sample1619      13.200     -0.02046   0.03938   0.84893      0.000644   0.02155  -0.03969   0.01964   5.41169    28.52450  OK        CLOSE
sample162       14.700     -0.01387   0.03938   0.84880      0.000643   0.02155  -0.03970   0.01966   5.41133    28.53310  OK        CLOSE
sample1620      12.700     -0.01858   0.03938   0.84878      0.000645   0.02155  -0.03968   0.01966   5.41136    28.52820  OK        CLOSE
sample1621      14.600     -0.01108   0.03938   0.84886      0.000644   0.02153  -0.03964   0.01968   5.41163    28.53420  OK        CLOSE
sample1622      14.800     -0.01483   0.03938   0.84882      0.000644   0.02156  -0.03966   0.01965   5.41122    28.53270  OK        CLOSE
sample1623      12.900     -0.02233   0.03938   0.84891      0.000644   0.02154  -0.03970   0.01967   5.41149    28.52370  OK        CLOSE
sample1624      13.000     -0.02327   0.03938   0.84888      0.000644   0.02155  -0.03967   0.01965   5.41139    28.52330  OK        CLOSE
sample1625      12.900     -0.01577   0.03938   0.84879      0.000643   0.02157  -0.03963   0.01966   5.41166    28.52940  OK        CLOSE
sample1626      16.900     -0.01202   0.03938   0.84892      0.000644   0.02153  -0.03965   0.01965   5.41125    28.53530  OK        CLOSE
sample1627      12.600     -0.01952   0.03938   0.84883      0.000644   0.02156  -0.03969   0.01968   5.41152    28.52640  OK        CLOSE
sample1628      12.600     -0.02139   0.03938   0.84890      0.000644   0.02155  -0.03968   0.01966   5.41119    28.52630  OK        CLOSE
sample1629      14.000     -0.01389   0.03938   0.84881      0.000645   0.02153  -0.03964   0.01964   5.41146    28.53230  OK        CLOSE
sample163       13.000     -0.02137   0.03938   0.84888      0.000644   0.02153  -0.03966   0.01964   5.41160    28.52410  OK        CLOSE
sample1630      13.100     -0.01764   0.03938   0.84894      0.000644   0.02156  -0.03966   0.01967   5.41132    28.52930  OK        CLOSE
sample1631      15.500     -0.02514   0.03938   0.84885      0.000644   0.02154  -0.03970   0.01965   5.41159    28.52040  OK        CLOSE
sample1632      13.100     -0.02538   0.03938   0.84892      0.000645   0.02155  -0.03964   0.01967   5.41116    28.52240  OK        CLOSE
sample1633      12.700     -0.01788   0.03938   0.84884      0.000644   0.02153  -0.03968   0.01965   5.41143    28.52850  OK        CLOSE
sample1634      14.800     -0.01413   0.03938   0.84888      0.000644   0.02156  -0.03966   0.01968   5.41130    28.53300  OK        CLOSE
sample1635      13.000     -0.02163   0.03938   0.84879      0.000644   0.02154  -0.03962   0.01966   5.41157    28.52400  OK        CLOSE
sample1636      12.600     -0.01975   0.03938   0.84894      0.000643   0.02154  -0.03965   0.01964   5.41136    28.52700  OK        CLOSE
sample1637      14.000     -0.01225   0.03938   0.84886      0.000644   0.02156  -0.03969   0.01966   5.41163    28.53300  OK        CLOSE
sample1638      14.100     -0.01600   0.03938   0.84890      0.000644   0.02153  -0.03967   0.01965   5.41123    28.53150  OK        CLOSE
sample1639      13.600     -0.02350   0.03938   0.84881      0.000644   0.02155  -0.03963   0.01967   5.41150    28.52250  OK        CLOSE
sample164       12.600     -0.01950   0.03938   0.84882      0.000644   0.02153  -0.03963   0.01966   5.41140    28.52710  OK        CLOSE
sample1640      12.600     -0.02256   0.03938   0.84885      0.000644   0.02155  -0.03965   0.01965   5.41133    28.52440  OK        CLOSE
sample1641      13.100     -0.01507   0.03938   0.84893      0.000645   0.02152  -0.03969   0.01967   5.41160    28.53040  OK        CLOSE
sample1642      18.200     -0.01132   0.03938   0.84880      0.000644   0.02156  -0.03967   0.01964   5.41120    28.53630  OK        CLOSE
sample1643      12.600     -0.01881   0.03938   0.84889      0.000644   0.02153  -0.03963   0.01966   5.41146    28.52740  OK        CLOSE
sample1644      12.600     -0.02069   0.03938   0.84883      0.000644   0.02154  -0.03966   0.01968   5.41126    28.52660  OK        CLOSE
sample1645      14.000     -0.01319   0.03938   0.84891      0.000643   0.02156  -0.03970   0.01966   5.41153    28.53260  OK        CLOSE
sample1646      13.100     -0.01694   0.03938   0.84878      0.000644   0.02153  -0.03968   0.01967   5.41140    28.52960  OK        CLOSE
sample1647      15.500     -0.02444   0.03938   0.84887      0.000644   0.02155  -0.03964   0.01965   5.41167    28.52070  OK        CLOSE
sample1648      14.000     -0.02491   0.03938   0.84889      0.000644   0.02156  -0.03969   0.01966   5.41141    28.52160  OK        CLOSE
sample1649      12.700     -0.01741   0.03938   0.84881      0.000644   0.02154  -0.03965   0.01968   5.41169    28.52760  OK        CLOSE
sample165       14.000     -0.01200   0.03938   0.84891      0.000644   0.02155  -0.03967   0.01968   5.41167    28.53310  OK        CLOSE
sample1650      15.200     -0.01366   0.03938   0.84894      0.000644   0.02155  -0.03963   0.01965   5.41128    28.53350  OK        CLOSE
sample1651      12.800     -0.02116   0.03938   0.84885      0.000645   0.02153  -0.03967   0.01967   5.41155    28.52460  OK        CLOSE
sample1652      13.000     -0.01928   0.03938   0.84887      0.000644   0.02152  -0.03970   0.01968   5.41121    28.52830  OK        CLOSE
sample1653      15.100     -0.01178   0.03938   0.84879      0.000644   0.02155  -0.03966   0.01965   5.41148    28.53430  OK        CLOSE
sample1654      13.900     -0.01553   0.03938   0.84892      0.000644   0.02154  -0.03964   0.01966   5.41135    28.53130  OK        CLOSE
sample1655      14.100     -0.02303   0.03938   0.84883      0.000643   0.02156  -0.03968   0.01964   5.41162    28.52230  OK        CLOSE
sample1656      12.800     -0.02397   0.03938   0.84878      0.000644   0.02156  -0.03969   0.01966   5.41125    28.52340  OK        CLOSE
sample1657      12.900     -0.01647   0.03938   0.84886      0.000644   0.02154  -0.03965   0.01964   5.41152    28.52940  OK        CLOSE
sample1658      15.200     -0.01272   0.03938   0.84882      0.000644   0.02155  -0.03963   0.01967   5.41138    28.53390  OK        CLOSE
sample1659      12.900     -0.02022   0.03938   0.84890      0.000644   0.02153  -0.03967   0.01965   5.41165    28.52500  OK        CLOSE
sample166       14.100     -0.01575   0.03938   0.84878      0.000644   0.02154  -0.03969   0.01965   5.41126    28.53150  OK        CLOSE
sample1660      12.500     -0.02210   0.03938   0.84880      0.000644   0.02153  -0.03970   0.01965   5.41131    28.52490  OK        CLOSE
sample1661      13.300     -0.01460   0.03938   0.84888      0.000644   0.02156  -0.03966   0.01967   5.41158    28.53090  OK        CLOSE
sample1662      13.400     -0.01835   0.03938   0.84884      0.000643   0.02154  -0.03964   0.01966   5.41118    28.52940  OK        CLOSE
sample1663      14.800     -0.02585   0.03938   0.84893      0.000644   0.02157  -0.03968   0.01968   5.41145    28.52040  OK        CLOSE
sample1664      14.500     -0.02579   0.03938   0.84885      0.000643   0.02155  -0.03963   0.01967   5.41140    28.52070  OK        CLOSE
sample1665      12.700     -0.01829   0.03938   0.84893      0.000644   0.02153  -0.03967   0.01965   5.41167    28.52680  OK        CLOSE
sample1666      14.700     -0.01454   0.03938   0.84881      0.000644   0.02156  -0.03969   0.01966   5.41127    28.53270  OK        CLOSE
sample1667      13.000     -0.02204   0.03938   0.84889      0.000644   0.02154  -0.03965   0.01964   5.41154    28.52380  OK        CLOSE
sample1668      12.700     -0.02016   0.03938   0.84883      0.000645   0.02153  -0.03964   0.01966   5.41120    28.52750  OK        CLOSE
sample1669      14.600     -0.01266   0.03938   0.84891      0.000644   0.02156  -0.03968   0.01968   5.41147    28.53350  OK        CLOSE
sample167       13.600     -0.02325   0.03938   0.84886      0.000644   0.02156  -0.03965   0.01967   5.41153    28.52260  OK        CLOSE
sample1670      13.500     -0.01641   0.03938   0.84879      0.000644   0.02152  -0.03970   0.01965   5.41134    28.53050  OK        CLOSE
sample1671      14.600     -0.02391   0.03938   0.84887      0.000644   0.02155  -0.03966   0.01967   5.41161    28.52150  OK        CLOSE
sample1672      12.500     -0.02297   0.03938   0.84890      0.000644   0.02155  -0.03963   0.01965   5.41123    28.52450  OK        CLOSE
sample1673      13.200     -0.01548   0.03938   0.84882      0.000644   0.02153  -0.03966   0.01967   5.41151    28.53050  OK        CLOSE
sample1674      16.100     -0.01173   0.03938   0.84886      0.000644   0.02156  -0.03968   0.01966   5.41137    28.53500  OK        CLOSE
sample1675      12.700     -0.01922   0.03938   0.84878      0.000644   0.02154  -0.03964   0.01968   5.41164    28.52600  OK        CLOSE
sample1676      12.500     -0.02110   0.03938   0.84892      0.000644   0.02154  -0.03964   0.01966   5.41130    28.52600  OK        CLOSE
sample1677      13.700     -0.01360   0.03938   0.84884      0.000645   0.02156  -0.03968   0.01964   5.41157    28.53200  OK        CLOSE
sample1678      13.900     -0.01735   0.03938   0.84888      0.000644   0.02153  -0.03970   0.01967   5.41117    28.53040  OK        CLOSE
sample1679      14.100     -0.02485   0.03938   0.84880      0.000644   0.02155  -0.03966   0.01965   5.41144    28.52150  OK        CLOSE
sample168       12.500     -0.02231   0.03938   0.84892      0.000644   0.02157  -0.03963   0.01964   5.41129    28.52480  OK        CLOSE
sample1680      12.800     -0.02438   0.03938   0.84879      0.000644   0.02157  -0.03967   0.01964   5.41118    28.52330  OK        CLOSE
sample1681      12.900     -0.01688   0.03938   0.84888      0.000644   0.02154  -0.03963   0.01966   5.41146    28.52940  OK        CLOSE
sample1682      15.300     -0.01313   0.03938   0.84883      0.000644   0.02156  -0.03965   0.01965   5.41132    28.53380  OK        CLOSE
sample1683      12.800     -0.02063   0.03938   0.84892      0.000643   0.02153  -0.03969   0.01967   5.41159    28.52490  OK        CLOSE
sample1684      12.600     -0.01876   0.03938   0.84881      0.000644   0.02153  -0.03968   0.01967   5.41139    28.52790  OK        CLOSE
sample1685      14.300     -0.01126   0.03938   0.84890      0.000644   0.02155  -0.03964   0.01965   5.41166    28.53390  OK        CLOSE
sample1686      14.500     -0.01501   0.03938   0.84885      0.000644   0.02154  -0.03966   0.01968   5.41125    28.53230  OK        CLOSE
sample1687      13.200     -0.02251   0.03938   0.84894      0.000645   0.02156  -0.03970   0.01966   5.41152    28.52340  OK        CLOSE
sample1688      12.900     -0.02344   0.03938   0.84889      0.000644   0.02156  -0.03967   0.01968   5.41135    28.52340  OK        CLOSE
sample1689      12.900     -0.01594   0.03938   0.84880      0.000644   0.02154  -0.03963   0.01966   5.41162    28.52940  OK        CLOSE
sample169       13.300     -0.01481   0.03938   0.84883      0.000644   0.02155  -0.03967   0.01966   5.41156    28.53080  OK        CLOSE
sample1690      17.100     -0.01219   0.03938   0.84893      0.000643   0.02155  -0.03965   0.01967   5.41122    28.53530  OK        CLOSE
sample1691      12.600     -0.01969   0.03938   0.84884      0.000644   0.02152  -0.03969   0.01965   5.41149    28.52640  OK        CLOSE
sample1692      12.500     -0.02157   0.03938   0.84887      0.000644   0.02153  -0.03968   0.01965   5.41129    28.52560  OK        CLOSE
sample1693      13.600     -0.01407   0.03938   0.84878      0.000644   0.02155  -0.03964   0.01967   5.41156    28.53160  OK        CLOSE
sample1694      12.700     -0.01782   0.03938   0.84891      0.000645   0.02154  -0.03966   0.01964   5.41142    28.52860  OK        CLOSE
sample1695      16.500     -0.02532   0.03938   0.84882      0.000644   0.02156  -0.03970   0.01966   5.41169    28.51970  OK        CLOSE
sample1696      13.300     -0.02508   0.03938   0.84893      0.000644   0.02152  -0.03965   0.01966   5.41126    28.52220  OK        CLOSE
sample1697      12.700     -0.01758   0.03938   0.84884      0.000644   0.02155  -0.03969   0.01968   5.41153    28.52830  OK        CLOSE
sample1698      14.400     -0.01383   0.03938   0.84888      0.000644   0.02154  -0.03967   0.01965   5.41140    28.53270  OK        CLOSE
sample1699      13.300     -0.02133   0.03938   0.84880      0.000645   0.02156  -0.03963   0.01967   5.41167    28.52380  OK        CLOSE
sample17        12.700     -0.01709   0.03938   0.84893      0.000644   0.02156  -0.03963   0.01965   5.41168    28.52790  OK        CLOSE
sample170       18.800     -0.01106   0.03938   0.84887      0.000644   0.02156  -0.03969   0.01965   5.41116    28.53680  OK        CLOSE
sample1700      12.600     -0.01946   0.03938   0.84891      0.000644   0.02156  -0.03966   0.01967   5.41133    28.52750  OK        CLOSE
sample1701      14.300     -0.01196   0.03938   0.84882      0.000644   0.02154  -0.03970   0.01965   5.41160    28.53350  OK        CLOSE
sample1702      14.500     -0.01571   0.03938   0.84886      0.000644   0.02155  -0.03968   0.01966   5.41119    28.53200  OK        CLOSE
sample1703      13.200     -0.02321   0.03938   0.84878      0.000643   0.02153  -0.03964   0.01964   5.41146    28.52300  OK        CLOSE
sample1704      12.600     -0.02227   0.03938   0.84883      0.000644   0.02153  -0.03964   0.01966   5.41136    28.52450  OK        CLOSE
sample1705      13.100     -0.01477   0.03938   0.84892      0.000644   0.02155  -0.03968   0.01964   5.41163    28.53050  OK        CLOSE
sample1706      18.200     -0.01102   0.03938   0.84879      0.000645   0.02154  -0.03966   0.01967   5.41123    28.53650  OK        CLOSE
sample1707      12.600     -0.01852   0.03938   0.84887      0.000644   0.02157  -0.03962   0.01965   5.41150    28.52750  OK        CLOSE
sample1708      12.800     -0.02040   0.03938   0.84885      0.000644   0.02156  -0.03965   0.01965   5.41116    28.52740  OK        CLOSE
sample1709      14.700     -0.01290   0.03938   0.84894      0.000644   0.02154  -0.03969   0.01967   5.41143    28.53350  OK        CLOSE
sample171       12.700     -0.01856   0.03938   0.84879      0.000643   0.02153  -0.03965   0.01968   5.41143    28.52780  OK        CLOSE
sample1710      13.600     -0.01665   0.03938   0.84881      0.000643   0.02155  -0.03967   0.01966   5.41129    28.53050  OK        CLOSE
sample1711      14.400     -0.02415   0.03938   0.84889      0.000644   0.02153  -0.03963   0.01968   5.41157    28.52150  OK        CLOSE
sample1712      13.300     -0.02462   0.03938   0.84887      0.000645   0.02154  -0.03969   0.01967   5.41131    28.52240  OK        CLOSE
sample1713      12.700     -0.01712   0.03938   0.84878      0.000644   0.02156  -0.03965   0.01965   5.41158    28.52840  OK        CLOSE
sample1714      16.400     -0.01337   0.03938   0.84891      0.000644   0.02153  -0.03963   0.01968   5.41118    28.53440  OK        CLOSE
sample1715      12.500     -0.02087   0.03938   0.84883      0.000644   0.02155  -0.03967   0.01966   5.41145    28.52540  OK        CLOSE
sample1716      12.900     -0.01899   0.03938   0.84889      0.000643   0.02156  -0.03970   0.01964   5.41124    28.52840  OK        CLOSE
sample1717      15.100     -0.01149   0.03938   0.84880      0.000644   0.02153  -0.03966   0.01966   5.41151    28.53440  OK        CLOSE
sample1718      13.800     -0.01524   0.03938   0.84893      0.000644   0.02157  -0.03964   0.01965   5.41138    28.53140  OK        CLOSE
sample1719      14.100     -0.02274   0.03938   0.84885      0.000644   0.02155  -0.03968   0.01967   5.41165    28.52250  OK        CLOSE
sample172       12.600     -0.02043   0.03938   0.84894      0.000644   0.02153  -0.03962   0.01966   5.41123    28.52710  OK        CLOSE
sample1720      12.600     -0.02368   0.03938   0.84882      0.000644   0.02154  -0.03969   0.01965   5.41121    28.52390  OK        CLOSE
sample1721      13.100     -0.01618   0.03938   0.84890      0.000644   0.02156  -0.03965   0.01967   5.41148    28.52990  OK        CLOSE
sample1722      15.700     -0.01243   0.03938   0.84886      0.000644   0.02153  -0.03963   0.01964   5.41134    28.53440  OK        CLOSE
sample1723      12.700     -0.01993   0.03938   0.84894      0.000644   0.02155  -0.03967   0.01966   5.41161    28.52550  OK        CLOSE
sample1724      12.600     -0.02180   0.03938   0.84879      0.000644   0.02155  -0.03970   0.01968   5.41141    28.52470  OK        CLOSE
sample1725      13.100     -0.01430   0.03938   0.84888      0.000643   0.02153  -0.03966   0.01965   5.41168    28.53070  OK        CLOSE
sample1726      13.200     -0.01805   0.03938   0.84884      0.000644   0.02156  -0.03964   0.01966   5.41128    28.52920  OK        CLOSE
sample1727      15.400     -0.02555   0.03938   0.84892      0.000644   0.02154  -0.03968   0.01965   5.41155    28.52020  OK        CLOSE
sample1728      13.400     -0.02567   0.03938   0.84890      0.000644   0.02155  -0.03966   0.01966   5.41120    28.52200  OK        CLOSE
sample1729      12.700     -0.01817   0.03938   0.84882      0.000644   0.02157  -0.03970   0.01968   5.41147    28.52800  OK        CLOSE
sample173       14.300     -0.01293   0.03938   0.84885      0.000644   0.02155  -0.03966   0.01964   5.41150    28.53310  OK        CLOSE
sample1730      14.400     -0.01442   0.03938   0.84894      0.000645   0.02153  -0.03968   0.01965   5.41133    28.53250  OK        CLOSE
sample1731      13.300     -0.02192   0.03938   0.84886      0.000644   0.02156  -0.03964   0.01967   5.41160    28.52350  OK        CLOSE
sample1732      12.500     -0.02004   0.03938   0.84888      0.000644   0.02155  -0.03965   0.01967   5.41140    28.52650  OK        CLOSE
